DATE,OPEN,HIGH,LOW,CLOSE,ADJ CLOSE,VOLUME
2015-01-21,126.2,128.9,125.2,128.7,127.1,33788560
2015-01-22,130.5,132,129.7,131.6,130,39063807
2015-01-23,134.6,134.9,131.1,132.7,131.1,29965533
2015-01-26,136.7,137.1,134.3,137,135.3,34952624
2015-01-27,138,138,133,136,134.3,24455759
2015-01-28,136.9,137,134.7,136.9,135.2,16216906
2015-01-29,136,136.4,133.8,134.6,132.9,14636100
2015-01-30,135.5,135.5,129.5,132,130.4,29375696
2015-02-02,129.9,136.8,129.9,135.8,134.1,17654028
2015-02-03,135.5,137.3,133,135.1,133.4,14377641
2015-02-04,135.5,136.1,133.3,133.9,132.2,9499394
2015-02-05,137,137,133,135.2,133.5,18010768
2015-02-06,136.8,136.8,134,134.2,132.5,10914852
2015-02-09,133.6,133.6,131.8,132.6,131,12443319
2015-02-10,132.6,134,132,133,131.4,14000857
2015-02-11,134,134,131.4,131.6,130,12131156
2015-02-12,130,130.9,128,129.6,128,24028028
2015-02-13,129.6,132.3,129.1,130.2,128.6,15469704
2015-02-16,130.1,132.3,130,130.5,128.9,10168868
2015-02-17,130,132,130,130.8,129.2,8379920
2015-02-18,131.1,131.4,129.5,129.9,128.3,7286722
2015-02-23,132.7,135.3,131.1,134.8,133.1,24232835
2015-02-24,136,136.4,133.8,135.1,133.4,17218597
2015-02-25,134,136.4,133.6,135.8,134.1,18941918
2015-02-26,134.3,136.4,134.3,135.6,133.9,21657792
2015-02-27,136,136.7,134.7,135.9,134.2,17961525
2015-03-02,136.7,137,134,136.7,135,12685566
2015-03-03,137.2,138,135,135.3,133.6,17615622
2015-03-04,134.4,134.7,133,133.3,131.7,12376013
2015-03-05,132.1,134.6,131.8,132.1,130.5,12315630
2015-03-06,132.2,133.1,131,131.7,130.1,13871148
2015-03-09,132,133.7,130.8,132.2,130.6,13163789
2015-03-10,132.8,132.8,130.7,131.1,129.5,13021256
2015-03-11,131.5,132.5,131.1,131.7,130.1,14168960
2015-03-12,130.9,132.2,130.2,131.8,130.2,17080308
2015-03-13,133,134.8,131.7,133.6,132,15454313
2015-03-16,133,136.3,131.7,135.6,133.9,22713746
2015-03-17,137.3,137.5,133.1,133.8,132.1,19181089
2015-03-18,134.5,137.3,134.2,135.9,134.2,22928460
2015-03-19,138,145.3,136.7,145,143.2,64092649
2015-03-20,146.4,148.8,141.1,142.6,140.8,71270140
2015-03-23,144.1,146.5,142.7,145.2,143.4,30768023
2015-03-24,146.5,146.6,142.7,143,141.2,16676318
2015-03-25,143,145.1,141.6,142.7,140.9,20819852
2015-03-26,141.9,142.8,140.6,140.8,139.1,18603859
2015-03-27,143,143,140.3,141.9,140.1,15824137
2015-03-30,145.8,146.8,144,144.7,142.9,23524599
2015-03-31,151.4,151.4,146.2,147.2,145.4,24094107
2015-04-01,148.6,148.6,146.6,148,146.2,17165427
2015-04-02,148.9,150,147.3,149.8,148,14679077
2015-04-08,152,155,151,154.5,152.6,36667141
2015-04-09,159,170.4,158.5,159.9,157.9,66854985
2015-04-10,161,164,158.1,161.8,159.8,37095477
2015-04-13,165,171,162.5,171,168.9,43699110
2015-04-14,161.4,163.9,156.4,161.2,159.2,58987811
2015-04-15,160,160,155.5,157.6,155.7,46318846
2015-04-16,156.2,161.5,155,160,158,32520260
2015-04-17,158,160.7,158,158.8,156.8,21772150
2015-04-20,159.9,159.9,152.5,153.1,151.2,28448233
2015-04-21,153,159.8,153,159.1,157.1,23255563
2015-04-22,158.6,164.3,158.6,162.7,160.7,25276421
2015-04-23,164.8,165.6,160.7,160.9,158.9,22779722
2015-04-24,161.4,162.9,159.5,161.6,159.6,19135718
2015-04-27,161.6,164.9,161.6,162.6,160.6,19957318
2015-04-28,162.1,164.3,161,163.6,161.6,20240258
2015-04-29,164.3,165.4,162.5,164.2,162.2,20721910
2015-04-30,164,164,160.7,160.9,158.9,21427069
2015-05-04,159.5,161.1,157.6,158,156,22296365
2015-05-05,158.5,160.8,155.7,157.6,155.7,19543958
2015-05-06,155,159.2,155,156,154.1,19532689
2015-05-07,155,155.9,151.8,153,151.1,19846609
2015-05-08,156,158,153.7,154,152.1,18108540
2015-05-11,155.3,160.5,155.3,158.6,156.6,20799436
2015-05-12,160,161.8,156.7,157,155.1,21883049
2015-05-13,157,159.6,155.9,156.8,154.9,19515010
2015-05-14,162.5,163.9,160,161.3,159.3,25890282
2015-05-15,162.4,163.6,161,162.3,160.7,21641819
2015-05-18,162.7,163.2,160.4,161.1,159.5,14011955
2015-05-19,162.3,162.3,160.3,161.4,159.8,12579491
2015-05-20,161.2,161.8,158.1,158.6,157,16456399
